x y
128.0475 106.9376
128.4858 106.5345
128.8933 106.0906
129.2617 105.6140
129.5847 105.1140
129.8577 104.6012
130.0785 104.0869
130.2472 103.5822
130.3661 103.0978
130.4396 102.6433
130.4738 102.2264
130.4763 101.8525
130.4548 101.5229
130.4169 101.2338
130.3675 100.9728
130.3066 100.7109
130.2255 100.3831
130.1130 99.8251
130.0827 98.6032
131.0254 96.3793
132.8957 95.0910
133.9645 94.8583
134.4848 94.8244
134.8067 94.8141
135.0721 94.8006
135.3389 94.7752
135.6317 94.7300
135.9596 94.6568
136.3236 94.5475
136.7194 94.3951
137.1396 94.1941
137.5750 93.9408
138.0149 93.6341
138.4484 93.2749
138.8648 92.8665
139.2540 92.4143
139.6073 91.9258
139.9176 91.4099
140.1797 90.8770
140.3905 90.3380
140.5492 89.8043
140.6575 89.2870
140.7189 88.7964
140.7391 88.3413
140.7252 87.9285
140.6852 87.5619
140.6271 87.2419
140.5576 86.9628
140.4797 86.7105
140.3892 86.4535
140.2686 86.1209
140.0900 85.5303
139.9613 84.1900
