x y
139.9027 98.7362
139.8946 98.9901
139.8705 99.2430
139.8303 99.4939
139.7743 99.7418
139.7028 99.9855
139.6159 100.2243
139.5140 100.4571
139.3976 100.6829
139.2671 100.9009
139.1230 101.1102
138.9659 101.3099
138.7965 101.4992
138.6154 101.6775
138.4234 101.8439
138.2212 101.9977
138.0097 102.1385
137.7896 102.2655
137.5620 102.3783
137.3276 102.4765
137.0875 102.5596
136.8427 102.6273
136.5940 102.6793
136.3425 102.7155
136.0892 102.7356
135.8351 102.7397
135.5814 102.7276
135.3288 102.6994
135.0786 102.6553
134.8317 102.5954
134.5891 102.5199
134.3517 102.4293
134.1206 102.3237
133.8967 102.2037
133.6808 102.0698
133.4738 101.9224
133.2766 101.7622
133.0900 101.5898
132.9146 101.4059
132.7513 101.2113
132.6007 101.0067
132.4633 100.7929
132.3398 100.5709
132.2306 100.3415
132.1361 100.1056
132.0569 99.8642
131.9931 99.6183
131.9450 99.3688
131.9128 99.1168
131.8967 98.8632
131.8967 98.6091
131.9128 98.3556
131.9450 98.1035
131.9931 97.8540
132.0569 97.6081
132.1361 97.3667
132.2306 97.1308
132.3398 96.9014
132.4633 96.6794
132.6007 96.4657
132.7513 96.2611
132.9146 96.0664
133.0900 95.8825
133.2766 95.7101
133.4738 95.5499
133.6808 95.4026
133.8967 95.2686
134.1206 95.1486
134.3517 95.0431
134.5891 94.9524
134.8317 94.8769
135.0786 94.8170
135.3288 94.7729
135.5814 94.7448
135.8351 94.7327
136.0892 94.7367
136.3425 94.7568
136.5940 94.7930
136.8427 94.8450
137.0875 94.9127
137.3276 94.9958
137.5620 95.0940
137.7896 95.2068
138.0097 95.3339
138.2212 95.4746
138.4234 95.6285
138.6154 95.7949
138.7965 95.9731
138.9659 96.1624
139.1230 96.3622
139.2671 96.5714
139.3976 96.7894
139.5140 97.0153
139.6159 97.2480
139.7028 97.4868
139.7743 97.7306
139.8303 97.9784
139.8705 98.2293
139.8946 98.4822
139.9027 98.7362
