PinNumber	Case1	Case2	Case3	Case4	Case5
18	0.0000	0.0000	0.0000	0.0000	0.0000
19	0.0000	0.0000	0.0000	0.0000	0.0000
20	675.7429	642.6052	675.7429	837.0837	812.8819
21	1096.8605	1077.8920	1096.8605	1052.4428	1034.1529
22	1027.5006	1013.2135	1027.5006	974.6003	959.9669
23	917.4992	904.5962	917.4992	851.5888	838.6530
24	725.2510	713.4860	725.2510	672.9683	661.7234
25	508.3440	497.3425	508.3440	489.9266	480.1902
26	306.1557	294.3255	306.1557	337.7053	328.7745
27	51.1965	0.0000	51.1965	216.2669	206.6391
28	0.0000	0.0000	0.0000	77.7307	57.5524
29	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.0000	0.0000	0.0000	0.0000	0.0000
