PinNumber	Case1	Case2	Case3	Case4	Case5
18	0.0000	0.0000	0.0000	0.0000	0.0000
19	0.0000	0.0000	0.0000	0.0000	0.0000
20	432.5523	391.1687	432.5523	663.7637	625.9369
21	1344.1730	1298.0842	1344.1730	1237.5118	1194.8733
22	1516.8997	1475.0089	1516.8997	1364.7271	1324.0525
23	1707.8991	1660.1999	1707.8991	1471.3321	1426.9719
24	1630.3802	1577.9133	1630.3802	1403.7878	1357.2666
25	1265.6914	1211.5006	1265.6914	1175.6402	1129.3771
26	690.5992	638.2594	690.5992	840.2669	796.4121
27	24.9800	0.0000	24.9800	445.7505	406.9460
28	0.0000	0.0000	0.0000	61.3764	33.6468
29	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.0000	0.0000	0.0000	0.0000	0.0000
