x y
139.9026 98.7351
139.8946 98.9882
139.8705 99.2402
139.8305 99.4902
139.7747 99.7372
139.7034 99.9801
139.6168 100.2180
139.5153 100.4500
139.3993 100.6750
139.2692 100.8922
139.1257 101.1008
138.9692 101.2998
138.8003 101.4885
138.6199 101.6661
138.4285 101.8319
138.2271 101.9852
138.0163 102.1255
137.7970 102.2521
137.5701 102.3645
137.3366 102.4623
137.0973 102.5451
136.8533 102.6126
136.6055 102.6645
136.3549 102.7005
136.1025 102.7206
135.8493 102.7246
135.5964 102.7125
135.3448 102.6845
135.0955 102.6405
134.8494 102.5808
134.6076 102.5056
134.3711 102.4153
134.1408 102.3101
133.9176 102.1905
133.7025 102.0570
133.4963 101.9102
133.2997 101.7505
133.1137 101.5787
132.9390 101.3955
132.7763 101.2015
132.6262 100.9977
132.4893 100.7847
132.3662 100.5634
132.2574 100.3348
132.1633 100.0997
132.0843 99.8592
132.0207 99.6141
131.9728 99.3655
131.9407 99.1144
131.9246 98.8617
131.9246 98.6085
131.9407 98.3558
131.9728 98.1047
132.0207 97.8561
132.0843 97.6110
132.1633 97.3704
132.2574 97.1354
132.3662 96.9068
132.4893 96.6855
132.6262 96.4725
132.7763 96.2686
132.9390 96.0747
133.1137 95.8914
133.2997 95.7196
133.4963 95.5600
133.7025 95.4131
133.9176 95.2796
134.1408 95.1601
134.3711 95.0549
134.6076 94.9645
134.8494 94.8894
135.0955 94.8297
135.3448 94.7857
135.5964 94.7576
135.8493 94.7456
136.1025 94.7496
136.3549 94.7697
136.6055 94.8057
136.8533 94.8576
137.0973 94.9250
137.3366 95.0078
137.5701 95.1057
137.7970 95.2181
138.0163 95.3447
138.2271 95.4849
138.4285 95.6383
138.6199 95.8041
138.8003 95.9817
138.9692 96.1704
139.1257 96.3694
139.2692 96.5779
139.3993 96.7952
139.5153 97.0202
139.6168 97.2522
139.7034 97.4901
139.7747 97.7330
139.8305 97.9800
139.8705 98.2300
139.8946 98.4820
139.9026 98.7351
